TipoArticulo,Anhada,Partida,Raza,Alimentacion,NumeroSerieLc,AcidoOleico,AcidoPalmitico,AcidoEstearico,AcidoLinoleico,PesoVarios,Pesovientres,PesoCerdos,PesoNetoCanal,Nacimiento,CodigoMatadero,NroAnimales,PesoEntrada,TipoPesada,PesoSalida,DescripcionArticulo,FechaEntrada,FechaSalida
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071473897,0,0,0,0,0,0,0,0,,1,153,17.56,Individual,7.4,JAMàN DE CEBO DE CAMPO IBRICO,2021-10-05 00:00:00.000,2022-02-14 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069449545,0,0,0,0,0,0,0,0,,1,153,17.94,Individual,7.88,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069451487,0,0,0,0,0,0,0,0,,1,153,17.62,Individual,7.58,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071438391,0,0,0,0,0,0,0,0,,1,153,18.14,Individual,8.06,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067115947,0,0,0,0,0,0,0,0,,1,153,17.76,Individual,7.7,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067117040,0,0,0,0,0,0,0,0,,1,153,18.1,Individual,8.04,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071475273,0,0,0,0,0,0,0,0,,1,153,18.04,Individual,8,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071474047,0,0,0,0,0,0,0,0,,1,153,18.02,Individual,7.96,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544627,0,0,0,0,0,0,0,0,,1,153,17.96,Individual,7.88,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069451098,0,0,0,0,0,0,0,0,,1,153,17.4,Individual,7.08,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071473675,0,0,0,0,0,0,0,0,,1,153,18.1,Individual,8.02,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544443,0,0,0,0,0,0,0,0,,1,153,7.86,Individual,7.78,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544818,0,0,0,0,0,0,0,0,,1,153,17.48,Individual,7.4,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544863,0,0,0,0,0,0,0,0,,1,153,17.94,Individual,7.86,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071545334,0,0,0,0,0,0,0,0,,1,153,17.52,Individual,7.44,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544566,0,0,0,0,0,0,0,0,,1,153,17.82,Individual,7.74,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069451159,0,0,0,0,0,0,0,0,,1,153,17.5,Individual,7.42,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071474900,0,0,0,0,0,0,0,0,,1,153,17.4,Individual,7.34,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544962,0,0,0,0,0,0,0,0,,1,153,17.56,Individual,7.48,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071475488,0,0,0,0,0,0,0,0,,1,153,7.6,Individual,7.54,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071545068,0,0,0,0,0,0,0,0,,1,153,17.28,Individual,7.22,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071546706,0,0,0,0,0,0,0,0,,1,153,17.98,Individual,7.92,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544405,0,0,0,0,0,0,0,0,,1,153,17.42,Individual,7.24,JAMàN DE CEBO DE CAMPO IBRICO,2021-10-05 00:00:00.000,2022-02-14 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069449552,0,0,0,0,0,0,0,0,,1,153,18.06,Individual,7.86,JAMàN DE CEBO DE CAMPO IBRICO,2021-10-05 00:00:00.000,2022-02-14 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071544368,0,0,0,0,0,0,0,0,,1,153,17.46,Individual,7.28,JAMàN DE CEBO DE CAMPO IBRICO,2021-10-05 00:00:00.000,2022-02-14 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069449750,0,0,0,0,0,0,0,0,,1,153,17.08,Individual,7.02,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069450404,0,0,0,0,0,0,0,0,,1,153,17.96,Individual,7.9,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071438803,0,0,0,0,0,0,0,0,,1,153,17.64,Individual,7.58,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071473477,0,0,0,0,0,0,0,0,,1,153,17.88,Individual,7.82,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067116821,0,0,0,0,0,0,0,0,,1,153,17.8,Individual,7.74,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069450510,0,0,0,0,0,0,0,0,,1,153,17.92,Individual,7.86,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147071545037,0,0,0,0,0,0,0,0,,1,153,17.88,Individual,7.82,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147069450534,0,0,0,0,0,0,0,0,,1,153,17.48,Individual,7.4,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-10 00:00:00.000
Jamón,2021,40521,50% IBERICO,CEBO DE CAMPO,147067116029,0,0,0,0,0,0,0,0,,1,153,17.94,Individual,7.88,JAMON CEBO CAMPO 50% 7-8 KGS DON IBERICOO 50% 7-8 ,2021-10-05 00:00:00.000,2021-11-04 00:00:00.000
